#name (cmd = mergePeaks -d 100 /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_30_VS_siIkBa_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_30_VS_siIkBa_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt
Merged-chr16-3690700-1	chr16	3690650	3690750	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17358
Merged-chr6-2932363-1	chr6	2932313	2932413	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_41276
Merged-chr16-89217853-1	chr16	89217803	89217903	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_18973
Merged-chr1-84604142-1	chr1	84604092	84604192	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_1700
Merged-chr22-20472928-1	chr22	20472878	20472978	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_30884
Merged-chr22-20507513-1	chr22	20507463	20507563	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_30886
Merged-chr16-4402622-1	chr16	4402572	4402672	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17387
Merged-chr16-4404658-1	chr16	4404608	4404708	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17388
Merged-chr1-85544731-1	chr1	85544681	85544781	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_1727
Merged-chr1-86833728-1	chr1	86833678	86833778	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_1745
Merged-chr8-98941227-1	chr8	98941177	98941277	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_49306
Merged-chr9-13279741-1	chr9	13279691	13279791	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_50800
Merged-chr2-71070401-1	chr2	71070351	71070451	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25305
Merged-chr9-15143057-1	chr9	15143007	15143107	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_50831
Merged-chr8-100625826-1	chr8	100625776	100625876	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_49357
Merged-chr2-169507859-1	chr2	169507809	169507909	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_26920
Merged-chr14-20401283-1	chr14	20401233	20401333	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_13304
Merged-chr2-170005839-1	chr2	170005789	170005889	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_26937
Merged-chr4-145097942-1	chr4	145097892	145097992	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_37353
Merged-chr8-100906921-1	chr8	100906871	100906971	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_49371
Merged-chr14-90600151-1	chr14	90600101	90600201	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_14928
Merged-chr5-68450443-1	chr5	68450393	68450493	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_38963
Merged-chr4-145945993-1	chr4	145945943	145946043	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_37369
Merged-chr4-146124293-1	chr4	146124243	146124343	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_37373
Merged-chr2-73268740-1	chr2	73268690	73268790	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25359
Merged-chr2-73269495-1	chr2	73269445	73269545	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25360
Merged-chr2-73640664-1	chr2	73640614	73640714	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25368
Merged-chr14-21498795-1	chr14	21498745	21498845	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_13352
Merged-chr14-21525920-1	chr14	21525870	21525970	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_13354
Merged-chr2-74178360-1	chr2	74178310	74178410	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25392
Merged-chr14-92603755-1	chr14	92603705	92603805	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_14989
Merged-chr12-39807202-1	chr12	39807152	39807252	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_9886
Merged-chr7-31652028-1	chr7	31651978	31652078	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_45311
Merged-chr3-176167461-1	chr3	176167411	176167511	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_34900
Merged-chr7-121442947-1	chr7	121442897	121442997	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_46924
Merged-chr7-32336886-1	chr7	32336836	32336936	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_45335
Merged-chr12-83004765-1	chr12	83004715	83004815	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_10925
Merged-chr7-124929654-1	chr7	124929604	124929704	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_46989
Merged-chr7-34184645-1	chr7	34184595	34184695	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_45386
Merged-chr12-83389431-1	chr12	83389381	83389481	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_10930
Merged-chr12-83826198-1	chr12	83826148	83826248	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_10934
Merged-chr3-101229839-1	chr3	101229789	101229889	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_33379
Merged-chr1-217068272-1	chr1	217068222	217068322	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_4203
Merged-chr19-37655937-1	chr19	37655887	37655987	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_22973
Merged-chr12-87120601-1	chr12	87120551	87120651	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_10967
Merged-chr1-219519909-1	chr1	219519859	219519959	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_4263
Merged-chr10-66747621-1	chr10	66747571	66747671	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_5873
Merged-chrX-35381034-1	chrX	35380984	35381084	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_53310
Merged-chr6-3337973-1	chr6	3337923	3338023	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_41300
Merged-chrX-38175320-1	chrX	38175270	38175370	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_53328
Merged-chrX-38376042-1	chrX	38375992	38376092	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_53334
Merged-chr16-5058761-1	chr16	5058711	5058811	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17417
Merged-chr16-6573831-1	chr16	6573781	6573881	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17429
Merged-chr20-47814481-1	chr20	47814431	47814531	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29444
Merged-chr20-47878234-1	chr20	47878184	47878284	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29447
Merged-chr6-81752479-1	chr6	81752429	81752529	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_42948
Merged-chr6-4950988-1	chr6	4950938	4951038	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_41349
Merged-chrX-40468524-1	chrX	40468474	40468574	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_53365
Merged-chr6-81767499-1	chr6	81767449	81767549	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_42950
Merged-chr20-47979268-1	chr20	47979218	47979318	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29451
Merged-chr22-22884064-1	chr22	22884014	22884114	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_30942
