"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"
"1"	"chr16"	53015	53116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"chr5"	82210	82311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10473.0234202537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"chr17"	142272	142373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"chr10"	339093	339194	0	0	0	0	0	0	0	0	0	0	90.6238851979989	0	0	0	4383.99796042922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9202.56238489996	9144.98567070408	0	0	0	0	8983.8926851399	7269.77346322016	0	0	0	9170.60966401194	6716.01528680165	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"chr16"	383680	383781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8286.26398186174	0	0	0	0	0	0	0	0	0	0	0	0	7278.85981518161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6775.08971332215	0	16569.6275023757	0	0	0	0	0	0	0	0	0	4358.30954328845	0	0	0	0	0	0	0	0	0	0	0	7995.90585170537	0	0
"6"	"chr11"	394087	394188	0	0	0	0	0	0	0	0	0	0	0	0	14885.4012413137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"chr11"	450198	450299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"chr8"	477619	477720	0	0	0	0	0	0	0	0	0	0	9153.0124049978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8426.65439383823	0	0	0	0	0	0	0	0	0	0	5926.35448725086	0	0	0	0	0	0	0	0	0	0	0	0	9346.18652795382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"chr8"	486725	486826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"chr10"	491043	491170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2033.50036321905	0	0	0	0	0	0	0	0	0	0	0
"11"	"chr5"	612229	612330	0	0	0	0	0	0	2032.37246489301	0	0	1669.08229866086	1721.85381876024	1566.53857323666	0	1720.69931239536	2191.99898021461	1745.49462936286	0	0	0	1558.80213520015	0	0	0	0	0	0	0	0	0	0	0	0	0	6443.17459440928	9669.95181990443	0	0	8632.98718119227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8983.8926851399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"chr11"	624049	624150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1767.84479859644	0	0	1255.9781744901	0	0	0	0	0	4349.21551300387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9070.54415705466	0	0	0	0	0	0
"13"	"chr16"	660886	661097	0	0	0	0	0	0	0	0	869.533760184399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7561.81066485404	0	0	0	0	0	0	0	0	0	0	0	0	5347.5408980804	0	0	4623.7579086159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4436.0005337729	0	0	0	0	0	0	0	0
"14"	"chr2"	662651	662752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4765.8256494026	0	0	0	0	0	5126.22093703532	0	0	4421.90775122605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"chr8"	694432	694533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6635.60570389901	0	0	0	0	0	0	4190.76515092618	5706.19179052139	0	0	0	0	0	0	0	0	0	9669.95181990443	0	0	0	0	0	0	6752.39050598189	0	9021.31720358632	0	0	0	0	0	0	2481.96355834326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9223.37664745288	9569.23606707069	0	0	0	0	12372.6227194564	0	0	0	0	0
"16"	"chr4"	705572	705673	9656.40123152459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584.025552048453	0	0	0	0	0	0	7904.25507371271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6060.1031963941	0	0	0	0	0	0	0	0	0
"17"	"chr20"	768710	768824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8802.37945900069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12372.6227194564	0	0	5541.02247617898	0	0
"18"	"chr11"	859980	860081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19"	"chr18"	902266	902367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8983.8926851399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	"chr20"	953848	953949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6775.08971332215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	"chr1"	1040887	1040988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376.32004513159	0	0	0	0	0	0	0	0	0	0	302.307193518763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	"chr4"	1082466	1082567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10912.3919238288	0	0	0	0	0	0	9295.57049745641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8983.8926851399	7269.77346322016	0	0	0	9170.60966401194	0	0	0	0	0	0	0	9070.54415705466	0	0	0	0	0	0
"23"	"chr5"	1112022	1112123	0	0	0	0	0	0	5134.41464815077	0	0	0	4349.94648949956	8327.38925774004	0	0	0	0	0	0	1216.05288868882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8347.29763524096	0	0	0	0	0	0	0	0	0	7480.83047853993	0	0	0	0	0	0	0	0	0	0	0	0
"24"	"chr20"	1225486	1225587	0	0	0	0	0	0	0	10151.9987383533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1450.81724632799	0	0	0	8550.55738358513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6659.51154626708	0	0	0	9144.98567070408	0	0	0	0	8983.8926851399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"chr20"	1299651	1299752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8620.71018078233	0	0	0	0	0	0	0	0	0
"26"	"chr10"	1347982	1348083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	"chr16"	1379321	1379422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9656.40123152459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	"chr7"	1412961	1413062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8092.92550695388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8927.61623292096	0	0	6676.51555913828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"29"	"chr4"	1469811	1469912	0	0	0	0	0	0	0	10151.9987383533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9502.08113958215	0	0	0	0	0	0	0	0	8091.76811579507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9070.54415705466	0	6310.12357703922	0	0	0	0
"30"	"chr5"	1479766	1479868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9204.43745336024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4647.3784774424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2917.36292613002	0	0	0	0	0	0	0	0
