SLC6A14	chrX	116436122	116437122	+
B4GALT5	chr20	49713378	49714378	-
NFATC2	chr20	51562331	51563331	-
RFX5	chr1	151346857	151347857	-
LAMC2	chr1	183185738	183186738	+
PPP1R18	chr6	30687395	30688395	-
LTB	chr6	31582022	31583022	-
TAP1	chr6	32853478	32854478	-
DAXX	chr6	33328786	33329786	-
RUNX2	chr6	45327657	45328657	+
HIVEP2	chr6	142956198	142957198	-
PHLDB2	chr3	111731997	111732997	+
LINC02015	chr3	177816365	177817365	+
ITGB8	chr7	20330202	20331202	+
SEMA3C	chr7	80921859	80922859	-
PRKAR2B	chr7	107044149	107045149	+
VDR	chr12	47942548	47943548	-
RAB3IP	chr12	69738181	69739181	+
FGD6	chr12	95216982	95217982	-
DRAM1	chr12	101876851	101877851	+
RSRC2	chr12	122526500	122527500	-
ABTB2	chr11	34357508	34358508	-
CREBZF	chr11	85682408	85683408	-
KLHL5	chr4	39044539	39045539	+
NFKB1	chr4	102500829	102501829	+
TBC1D9	chr4	140755620	140756620	-
IRF2	chr4	184474080	184475080	-
PHF23	chr17	7239222	7240222	-
STAT5A	chr17	42287047	42288047	+
FAM117A	chr17	49788680	49789680	-
TUBD1	chr17	59892445	59893445	-
CRIM1	chr2	36355426	36356426	+
EFEMP1	chr2	55923639	55924639	-
MGAT4A	chr2	98730626	98731626	-
KYNU	chr2	142876998	142877998	+
AOX1	chr2	200585368	200586368	+
SGPP2	chr2	222424017	222425017	+
ABAT	chr16	8674065	8675065	+
TRIP10	chr19	6737425	6738425	+
RELB	chr19	45000930	45001930	+
DDX58	chr9	32525824	32526824	-
IER5L	chr9	129177762	129178762	-
FOXO1	chr13	40666097	40667097	-
BAZ1A	chr14	34875147	34876147	-
PLEKHG3	chr14	64703602	64704602	+
RBM25	chr14	73057936	73058936	+
TRAF3	chr14	102776976	102777976	+
TNFAIP2	chr14	103122942	103123942	+
IL6ST	chr5	55994493	55995493	-
HMGCR	chr5	75335829	75336829	+
CLK4	chr5	178630115	178631115	-
APOL2	chr22	36239454	36240454	-
OPTN	chr10	13098949	13099949	+
ARID5B	chr10	61900800	61901800	+
NFKB2	chr10	102393610	102394610	+
CHST15	chr10	124093107	124094107	-
SERPINB8	chr18	63969425	63970425	+
LINC00052	chr15	87576429	87577429	+
SEMA4B	chr15	90160104	90161104	+
IFNGR2	chr21	33402396	33403396	+
