#name (cmd = mergePeaks -d 100 /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_30_VS_siCtrl_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_75_VS_siCtrl_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_30_VS_siCtrl_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_75_VS_siCtrl_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt
Merged-chr1-19220411-1	chr1	19220361	19220461	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_338
Merged-chr3-31448773-1	chr3	31448723	31448823	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_26510
Merged-chr3-31705111-1	chr3	31705061	31705161	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_26514
Merged-chr7-108805868-1	chr7	108805818	108805918	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_38535
Merged-chr16-14028443-1	chr16	14028393	14028493	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_14503
Merged-chr1-19643266-1	chr1	19643216	19643316	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_347
Merged-chr16-14301333-1	chr16	14301283	14301383	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_14508
Merged-chr1-19878328-1	chr1	19878278	19878378	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_351
Merged-chr3-32502215-1	chr3	32502165	32502265	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_26533
Merged-chr11-13210485-1	chr11	13210435	13210535	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siCtrl_120_VS_siCtrl_0.txt	1			siCtrl_120_peak_6119
