"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"
"1"	"chr16"	53015	53116	0	0	0	0	0	0	0	0	0	4619.17977240592	0	0	4892.75095481429	1477.5586372042	0	0	0	0	0	5564.96952428351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"chr5"	82210	82311	0	0	7382.18666238983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4249.44264903201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"chr17"	142272	142373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3900.53157701271	0	0	0	0	0	0	0	0	0	0	0	0	0	6545.81074792689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2206.81844814489	0	0	0	0	0	0	0	0	0
"4"	"chr10"	339093	339194	0	0	0	0	5418.8391457989	0	0	0	0	4619.17977240592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8188.98715348251	0	0	0	0	0	0	0	0	0	0	4253.25792835018	0	0	0	8011.22956008316	0	0	0	0	0	0	0	0	0	0	2152.00171946709	4279.9537147515	0
"5"	"chr16"	383680	383781	0	0	0	4554.96623849889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14614.8731324432	5802.58469664217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"chr11"	394087	394188	0	0	0	0	0	0	0	1464.85335137112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9086.4349529776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1884.81361592729	734.645197902696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"chr11"	450198	450299	0	0	0	0	0	0	0	8702.95226403711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8353.61353536941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8767.41441264372	0	0
"8"	"chr8"	477619	477720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6277.48900276878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"chr8"	486725	486826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6277.48900276878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"chr10"	491043	491170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7931.58108191308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7065.02134432909	0	0	0	0	0	0	0	0	0	0	0	0	0
